# Source: BMAS via IFG, answered on 2015-08-19: https://fragdenstaat.de/anfrage/registrierte-domains-in-maschinenlesbarer-form-1/
vereintaktiv.de,Bundesministerium für Arbeit und Soziales
vereint-aktiv.de,Bundesministerium für Arbeit und Soziales
vereint-fuer-gemeinsame-bildung.de,Bundesministerium für Arbeit und Soziales
vereint-fuer-gleiche-bildung.de,Bundesministerium für Arbeit und Soziales
vereint-für-gemeinsame-bildung.de,Bundesministerium für Arbeit und Soziales
vereint-für-gleiche-bildung.de,Bundesministerium für Arbeit und Soziales
vier-punkt-null.de,Bundesministerium für Arbeit und Soziales
was-ist-gute-arbeit.de,Bundesministerium für Arbeit und Soziales
we-are-open.info,Bundesministerium für Arbeit und Soziales
wiewerdenwirarbeiten.de,Bundesministerium für Arbeit und Soziales
wie-werden-wir-arbeiten.de,Bundesministerium für Arbeit und Soziales
wiewollenwirarbeiten.de,Bundesministerium für Arbeit und Soziales
wie-wollen-wir-arbeiten.de,Bundesministerium für Arbeit und Soziales
willkommenindeutschland.info,Bundesministerium für Arbeit und Soziales
xenos-de.de,Bundesministerium für Arbeit und Soziales
yesweareopen.de,Bundesministerium für Arbeit und Soziales
yes-we-are-open.info,Bundesministerium für Arbeit und Soziales
zielvereinbarungsregister.de,Bundesministerium für Arbeit und Soziales
