Domain Name,Domain Type,Agency,City,State
amt-roebel-mueritz.de,City,Non-Federal Agency,Buchholz,MV
amt-rostocker-heide.de,City,Non-Federal Agency,Rövershagen,MV
amt-ruhland.de,City,Non-Federal Agency,Hohenbocka,BB
amt-sandesneben-nusse.de,City,Non-Federal Agency,Poggensee,SH
amtsberg.eu,City,Non-Federal Agency,Amtsberg,SN
amt-schafflund.de,City,Non-Federal Agency,Jardelund,SH
amt-scharmuetzelsee.de,City,Non-Federal Agency,Wendisch Rietz,BB
amt-schenefeld.de,City,Non-Federal Agency,Aasbüttel,SH
amt-schenkenlaendchen.de,City,Non-Federal Agency,Schwerin,BB
amt-schlaubetal.de,City,Non-Federal Agency,Ragow-Merz,BB
amt-schlei-ostsee.de,City,Non-Federal Agency,Barkelsby,SH
amt-schradenland.de,City,Non-Federal Agency,Merzdorf,BB
amt-schwaan.de,City,Non-Federal Agency,Wiendorf,MV
amt-schwarzenbek-land.de,City,Non-Federal Agency,Mühlenrade,SH
amt-seelow-land.de,City,Non-Federal Agency,Lietzen,BB
amt-seenlandschaft-waren.de,City,Non-Federal Agency,Peenehagen,MV
amt-selent-schlesen.de,City,Non-Federal Agency,Lammershagen,SH
amtsiek.de,City,Non-Federal Agency,Brunsbek,SH
amt-slw.de,City,Non-Federal Agency,Hohen Wangelin,MV
amt-spreenhagen.de,City,Non-Federal Agency,Spreenhagen,BB
amt-sternberger-seenlandschaft.de,City,Non-Federal Agency,Dabel,MV
amt-stralendorf.de,City,Non-Federal Agency,Warsow,MV
amt-suedangeln.de,City,Non-Federal Agency,Süderfahrenstedt,SH
amt-suedtondern.de,City,Non-Federal Agency,Ellhöft,SH
amt-temnitz.de,City,Non-Federal Agency,Märkisch Linden,BB
amt-trittau.de,City,Non-Federal Agency,Hohenfelde,SH
amt-uecker-randow-tal.de,City,Non-Federal Agency,Fahrenwalde,MV
amtusedom.de,City,Non-Federal Agency,Dargen,MV
amt-usedom-nord.de,City,Non-Federal Agency,Mölschow,MV
amtusedom-sued.de,City,Non-Federal Agency,Koserow,MV
amt-vioel.de,City,Non-Federal Agency,Bondelum,SH
amt-wachsenburg.de,City,Non-Federal Agency,Amt Wachsenburg,TH
amt-warnow-west.de,City,Non-Federal Agency,Lambrechtshagen,MV
amt-westruegen.de,City,Non-Federal Agency,Schaprode,MV
amt-woldegk.de,City,Non-Federal Agency,Schönhausen,MV
amt-wr.de,City,Non-Federal Agency,Dreschvitz,MV
amt-wusterwitz.de,City,Non-Federal Agency,Rosenau,BB
amtzell.de,City,Non-Federal Agency,Amtzell,BW
amt-ziesar.de,City,Non-Federal Agency,Görzke,BB
amt-zuessow.de,City,Non-Federal Agency,Murchin,MV
anderlingen.de,City,Non-Federal Agency,Anderlingen,NI
andernach.de,City,Non-Federal Agency,Andernach,RP
andisleben.de,City,Non-Federal Agency,Andisleben,TH
angelbachtal.de,City,Non-Federal Agency,Angelbachtal,BW
angelburg.de,City,Non-Federal Agency,Angelburg,HE
angelroda.de,City,Non-Federal Agency,Angelroda,TH
anger.de,City,Non-Federal Agency,Anger,BY
angermuende.de,City,Non-Federal Agency,Angermünde,BB
anhausen.de,City,Non-Federal Agency,Anhausen,RP
ankershagen.de,City,Non-Federal Agency,Ankershagen,MV
anklam.de,City,Non-Federal Agency,Anklam,MV
ankum.de,City,Non-Federal Agency,Ankum,NI
annaberg-buchholz.de,City,Non-Federal Agency,Annaberg-Buchholz,SN
annaburg.de,City,Non-Federal Agency,Annaburg,ST
annweiler.de,City,Non-Federal Agency,Annweiler am Trifels,RP
anroechte.de,City,Non-Federal Agency,Anröchte,NW
ansbach.de,City,Non-Federal Agency,Ansbach,BY
antdorf.de,City,Non-Federal Agency,Antdorf,BY
antrifttal.de,City,Non-Federal Agency,Antrifttal,HE
antweiler.de,City,Non-Federal Agency,Antweiler,RP
anzing.de,City,Non-Federal Agency,Anzing,BY
apenburg.de,City,Non-Federal Agency,Apenburg-Winterfeld,ST
apen.de,City,Non-Federal Agency,Apen,NI
apensen.de,City,Non-Federal Agency,Apensen,NI
apfeldorf.de,City,Non-Federal Agency,Apfeldorf,BY
apolda.de,City,Non-Federal Agency,Apolda,TH
appen.de,City,Non-Federal Agency,Appen,SH
appenheim.de,City,Non-Federal Agency,Appenheim,RP
appenweier.de,City,Non-Federal Agency,Appenweier,BW
arberg.de,City,Non-Federal Agency,Arberg,BY
aremberg.de,City,Non-Federal Agency,Aremberg,RP
aresing.de,City,Non-Federal Agency,Aresing,BY
argenbuehl.de,City,Non-Federal Agency,Argenbühl,BW
argenschwang.de,City,Non-Federal Agency,Argenschwang,RP
argenthal.de,City,Non-Federal Agency,Argenthal,RP
armsheim.de,City,Non-Federal Agency,Armsheim,RP
armstedt.de,City,Non-Federal Agency,Armstedt,SH
armstorf.de,City,Non-Federal Agency,Armstorf,NI
arnbruck.de,City,Non-Federal Agency,Arnbruck,BY
arneburg-goldbeck.de,City,Non-Federal Agency,Hohenberg-Krusemark,ST
arnsberg.de,City,Non-Federal Agency,Arnsberg,NW
arnschwang.de,City,Non-Federal Agency,Arnschwang,BY
arnstadt.de,City,Non-Federal Agency,Arnstadt,TH
arnstein-harz.de,City,Non-Federal Agency,Arnstein,ST
arnstein-online.de,City,Non-Federal Agency,Arnstein,BY
arnstorf.de,City,Non-Federal Agency,Arnstorf,BY
arpsdorf.de,City,Non-Federal Agency,Arpsdorf,SH
arrach.de,City,Non-Federal Agency,Arrach,BY
artern.de,City,Non-Federal Agency,Artern/Unstrut,TH
artland.de,City,Non-Federal Agency,Samtgemeinde Artland,NI
arzbach.de,City,Non-Federal Agency,Arzbach,RP
arzberg.de,City,Non-Federal Agency,Arzberg,BY
asbach-baeumenheim.de,City,Non-Federal Agency,Asbach-Bäumenheim,BY
ascha.de,City,Non-Federal Agency,Ascha,BY
aschaffenburg.de,City,Non-Federal Agency,Aschaffenburg,BY
aschau-a-inn.de,City,Non-Federal Agency,Aschau am Inn,BY
aschau.de,City,Non-Federal Agency,Aschau im Chiemgau,BY
aschbach-pf.de,City,Non-Federal Agency,Aschbach,RP
ascheberg.de,City,Non-Federal Agency,Ascheberg,NW
ascheberg-holstein.de,City,Non-Federal Agency,Ascheberg (Holstein),SH
aschersleben.de,City,Non-Federal Agency,Aschersleben,ST
aschheim.de,City,Non-Federal Agency,Aschheim,BY
asendorf.info,City,Non-Federal Agency,Asendorf,NI
aspach.de,City,Non-Federal Agency,Aspach,BW
asperg.de,City,Non-Federal Agency,Asperg,BW
aspisheim.de,City,Non-Federal Agency,Aspisheim,RP
assamstadt.de,City,Non-Federal Agency,Assamstadt,BW
asselfingen.de,City,Non-Federal Agency,Asselfingen,BW
asslar.de,City,Non-Federal Agency,Aßlar,HE
assling.de,City,Non-Federal Agency,Aßling,BY
attendorn.de,City,Non-Federal Agency,Attendorn,NW
attenhofen.de,City,Non-Federal Agency,Attenhofen,BY
attenkirchen.de,City,Non-Federal Agency,Attenkirchen,BY
attenweiler.de,City,Non-Federal Agency,Attenweiler,BW
atting.de,City,Non-Federal Agency,Atting,BY
auamrhein.de,City,Non-Federal Agency,Au am Rhein,BW
aubstadt.de,City,Non-Federal Agency,Aubstadt,BY
aue.de,City,Non-Federal Agency,Aue,SN
auen.de,City,Non-Federal Agency,Auen,RP
auengrund.de,City,Non-Federal Agency,Auengrund,TH
auenwald.de,City,Non-Federal Agency,Auenwald,BW
auerbach.de,City,Non-Federal Agency,Auerbach in der Oberpfalz,BY
auerbach-erzgebirge.de,City,Non-Federal Agency,Auerbach,SN
auetal.de,City,Non-Federal Agency,Auetal,NI
auf-der-baek.de,City,Non-Federal Agency,Bäk,SH
aufsess.de,City,Non-Federal Agency,Aufseß,BY
auggen.de,City,Non-Federal Agency,Auggen,BW
augsburg.de,City,Non-Federal Agency,Augsburg,BY
augustdorf.de,City,Non-Federal Agency,Augustdorf,NW
augustusburg.de,City,Non-Federal Agency,Augustusburg,SN
auhausen.de,City,Non-Federal Agency,Auhausen,BY
au-hexental.de,City,Non-Federal Agency,Au,BW
aukrug.de,City,Non-Federal Agency,Aukrug,SH
aulendorf.de,City,Non-Federal Agency,Aulendorf,BW
aumuehle.de,City,Non-Federal Agency,Aumühle,SH
aurach.de,City,Non-Federal Agency,Aurach,BY
aurachtal.de,City,Non-Federal Agency,Aurachtal,BY
